City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ca Mau,9.1769,105.15,83.37,66,99,12.35,VN,1639706254
Ukiah,39.1502,-123.2078,44.73,95,9,2.82,US,1639706278
Hailar,49.2,119.7,-6.9,90,17,9.31,CN,1639706278
Bredasdorp,-34.5322,20.0403,57.27,69,7,17.43,ZA,1639706278
Praia da Vitória,38.7333,-27.0667,62.85,88,75,26.96,PT,1639706278
Aswān,24.0934,32.907,54.86,50,100,9.06,EG,1639706274
Barrow,71.2906,-156.7887,-9.38,77,75,27.63,US,1639706279
Bluff,-46.6,168.3333,61.81,69,79,26.28,NZ,1639706078
Omboué,-1.5746,9.2618,73.67,88,100,3.83,GA,1639706280
Ushuaia,-54.8,-68.3,46.06,87,90,6.91,AR,1639706280
New Norfolk,-42.7826,147.0587,72.64,30,84,3.0,AU,1639706280
Hilo,19.7297,-155.09,76.12,2,77,6.02,US,1639706280
Busselton,-33.65,115.3333,67.05,53,79,17.87,AU,1639706281
Shuiji,27.4214,118.345,57.87,80,92,5.3,CN,1639706281
Hermanus,-34.4187,19.2345,57.79,73,0,25.28,ZA,1639706281
Sande,53.5049,8.0142,44.98,94,96,6.4,DE,1639706281
Yellowknife,62.456,-114.3525,-19.68,76,90,6.91,CA,1639706282
Severo-Kuril'sk,50.6789,156.125,23.36,68,97,9.24,RU,1639706282
Ponta do Sol,32.6667,-17.1,62.85,73,7,8.19,PT,1639706282
Mataura,-46.1927,168.8643,61.48,39,44,10.11,NZ,1639706282
Ulfborg,56.2673,8.3217,41.97,94,7,9.75,DK,1639706283
Padang,-0.9492,100.3543,73.45,97,100,5.68,ID,1639706146
Karratha,-20.7377,116.8463,94.15,25,0,14.18,AU,1639706284
Rikitea,-23.1203,-134.9692,75.81,72,45,16.44,PF,1639706284
Hobart,-42.8794,147.3294,71.37,46,20,1.01,AU,1639706160
San Miguel de Tucumán,-26.8241,-65.2226,73.4,83,0,6.91,AR,1639706284
Lovozero,68.005,35.0117,15.71,96,100,4.45,RU,1639706285
Puerto Ayacucho,5.6639,-67.6236,79.83,74,100,5.37,VE,1639706285
Tuktoyaktuk,69.4541,-133.0374,-27.4,68,20,10.36,CA,1639706285
Sing Buri,14.85,100.2333,78.48,57,16,9.26,TH,1639706286
Weligama,5.9667,80.4167,78.53,84,54,0.83,LK,1639706286
Castro,-24.7911,-50.0119,66.38,96,40,4.5,BR,1639706286
Albany,42.6001,-73.9662,53.62,64,100,8.5,US,1639706287
Ribeira Grande,38.5167,-28.7,61.43,69,100,19.91,PT,1639706287
São Miguel do Araguaia,-13.275,-50.1628,71.69,96,100,2.91,BR,1639706287
Jerantut,3.936,102.3626,73.44,99,100,1.66,MY,1639706287
Villa Carlos Paz,-31.4241,-64.4978,65.84,37,0,3.0,AR,1639706288
East London,-33.0153,27.9116,61.36,57,95,8.61,ZA,1639706288
Salta,-24.7859,-65.4117,66.67,89,90,3.44,AR,1639706288
Batagay,67.6333,134.6333,-44.59,100,79,1.39,RU,1639706288
Vostok,46.4856,135.8833,-10.98,79,26,4.81,RU,1639706289
Fortuna,40.5982,-124.1573,45.59,71,20,0.0,US,1639706289
Narovchat,53.8765,43.6946,32.45,97,100,11.3,RU,1639706289
Mozelos,41.8677,-8.3978,46.72,64,21,4.47,PT,1639706290
Kapaa,22.0752,-159.319,77.49,74,32,3.0,US,1639706290
Lázaro Cárdenas,17.9583,-102.2,77.76,81,2,3.91,MX,1639706290
Nikolskoye,59.7035,30.7861,33.69,96,51,6.04,RU,1639706290
Stromness,58.965,-3.296,48.16,85,90,14.79,GB,1639706291
Bama,11.5221,13.6856,65.23,56,93,7.05,NG,1639706291
Itaituba,-4.2761,-55.9836,78.96,94,75,3.44,BR,1639706291
Vestmannaeyjar,63.4427,-20.2734,45.57,80,100,16.93,IS,1639706292
Jamestown,42.097,-79.2353,52.21,59,98,15.01,US,1639706352
Delfzijl,53.33,6.9181,45.88,97,82,1.99,NL,1639706352
Krasnosel'kup,65.7,82.4667,-34.42,100,100,2.46,RU,1639706352
Cape Town,-33.9258,18.4232,59.4,70,0,4.0,ZA,1639706343
Punta Arenas,-53.15,-70.9167,53.71,71,0,19.57,CL,1639706353
Namatanai,-3.6667,152.4333,85.32,70,95,8.39,PG,1639706353
Bengkulu,-3.8004,102.2655,75.76,93,100,2.3,ID,1639706290
Tessalit,20.1986,1.0114,68.59,23,0,11.41,ML,1639706354
Buala,-8.145,159.5921,84.76,74,93,4.47,SB,1639706354
Chokurdakh,70.6333,147.9167,-25.4,98,91,9.55,RU,1639706355
Savannakhet,16.566,104.751,68.02,77,20,2.3,LA,1639706355
Thompson,55.7435,-97.8558,-5.64,77,90,13.8,CA,1639706355
Carnarvon,-24.8667,113.6333,75.27,53,75,16.11,AU,1639706356
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,75.27,46,15,5.37,AR,1639706356
Tabou,4.423,-7.3528,78.57,83,34,5.99,CI,1639706356
Port Lincoln,-34.7333,135.8667,86.63,31,100,18.66,AU,1639706357
Cockburn Town,21.4612,-71.1419,78.76,73,40,18.41,TC,1639706357
Mil'kovo,54.7167,158.6167,8.35,82,76,4.12,RU,1639706357
Vaini,-21.2,-175.2,86.16,84,20,11.5,TO,1639706357
Cabo San Lucas,22.8909,-109.9124,73.94,77,100,6.82,MX,1639706358
Umeå,63.8284,20.2597,37.33,81,0,16.11,SE,1639706358
George Town,5.4112,100.3354,76.95,91,40,7.0,MY,1639706291
Qaanaaq,77.484,-69.3632,-4.31,97,100,2.15,GL,1639706359
Kaitangata,-46.2817,169.8464,62.92,49,47,10.04,NZ,1639706359
Giddalūr,15.35,78.9167,66.42,84,23,2.24,IN,1639706359
Tasiilaq,65.6145,-37.6368,30.9,98,100,1.23,GL,1639706359
Bushehr,28.9684,50.8385,69.19,66,75,7.78,IR,1639706360
Itapeva,-23.9822,-48.8756,68.43,95,5,4.38,BR,1639706360
Allāpalli,19.4167,80.0667,60.51,63,99,1.74,IN,1639706360
Faanui,-16.4833,-151.75,81.77,72,16,9.15,PF,1639706360
Tilichiki,60.4667,166.1,-14.03,95,55,9.06,RU,1639706361
Aleksandrov Gay,50.147,48.5704,29.64,95,15,8.01,RU,1639706361
Kavieng,-2.5744,150.7967,84.42,69,100,0.43,PG,1639706361
Macaúbas,-13.0194,-42.6986,68.49,89,93,1.9,BR,1639706361
Soyo,-6.1349,12.3689,76.15,90,100,10.63,AO,1639706362
Lavrentiya,65.5833,-171.0,6.66,92,100,7.74,RU,1639706363
Lewiston,44.1003,-70.2148,36.21,99,100,6.17,US,1639706363
Bārdoli,21.1167,73.1167,58.75,43,53,5.79,IN,1639706363
Nyurba,63.2842,118.3319,-26.57,100,94,2.64,RU,1639706363
Lagoa,39.05,-27.9833,59.5,74,100,23.78,PT,1639706364
Mae Hong Son,19.3003,97.9685,60.94,100,40,0.0,TH,1639706364
Upernavik,72.7868,-56.1549,-0.99,93,100,4.83,GL,1639706364
Huarmey,-10.0681,-78.1522,68.56,83,16,6.53,PE,1639706364
Borovoy,55.4333,86.0833,20.48,86,40,8.95,RU,1639706365
Port Elizabeth,-33.918,25.5701,57.49,67,20,5.75,ZA,1639706365
Atuona,-9.8,-139.0333,78.3,70,47,12.28,PF,1639706365
Nome,64.5011,-165.4064,19.47,86,90,19.57,US,1639706366
Margate,51.3813,1.3862,47.68,88,4,1.99,GB,1639706184
Touros,-5.1989,-35.4608,81.5,77,14,12.44,BR,1639706300
Tiksi,71.6872,128.8694,-23.19,100,100,3.38,RU,1639706128
Fukuechō,32.6881,128.8419,49.89,67,100,34.52,JP,1639706427
Cam Ranh,11.9214,109.1591,78.76,65,40,6.91,VN,1639706130
Eskil,38.4017,33.4131,35.58,99,100,8.93,TR,1639706429
Saint George,37.1041,-113.5841,38.59,64,20,1.99,US,1639706429
Jining,35.405,116.5814,32.83,25,0,18.19,CN,1639706429
Lebu,-37.6167,-73.65,54.32,91,0,5.46,CL,1639706429
Shitanjing,39.2342,106.3439,12.99,31,0,3.65,CN,1639706429
Narsaq,60.9167,-46.05,19.62,74,100,3.27,GL,1639706430
Iralaya,15.0,-83.2333,78.28,87,100,11.48,HN,1639706430
Senno,59.5336,33.9167,30.25,93,100,7.87,RU,1639706430
Airai,-8.9266,125.4092,78.53,45,7,2.01,TL,1639706298
Seddon,-37.8068,144.8916,81.48,36,0,5.01,AU,1639706431
Butaritari,3.0707,172.7902,82.54,71,75,12.86,KI,1639706432
Tefé,-3.3542,-64.7114,75.27,97,88,1.3,BR,1639706170
Lompoc,34.6391,-120.4579,53.4,90,40,8.05,US,1639706433
Isabela,6.7085,121.9711,82.9,81,99,14.92,PH,1639706433
Batu,-7.87,112.5283,73.94,74,100,1.5,ID,1639706177
Port Alfred,-33.5906,26.891,57.99,58,30,7.96,ZA,1639706434
Alice Springs,-23.7,133.8833,96.35,13,0,10.36,AU,1639706409
Dingle,10.9995,122.6711,76.23,95,100,12.8,PH,1639706435
Grindavik,63.8424,-22.4338,43.27,75,75,23.02,IS,1639706435
Tayginka,55.6244,60.5076,24.67,85,100,8.01,RU,1639706436
Gogrial,8.5332,28.1004,74.59,25,88,7.76,SS,1639706436
Puerto Ayora,-0.7393,-90.3518,69.55,95,70,1.01,EC,1639706429
São Mateus do Maranhão,-4.0417,-44.475,75.51,92,42,4.07,BR,1639706436
Gornopravdinsk,60.05,69.9,16.03,97,100,3.33,RU,1639706438
Burns Lake,54.2331,-125.7533,8.94,96,45,2.8,CA,1639706438
La Crosse,43.8014,-91.2396,25.03,68,1,5.99,US,1639706439
Qujing,25.4833,103.7833,46.17,82,100,8.37,CN,1639706439
Sirte,31.2089,16.5887,57.69,72,100,3.78,LY,1639706439
Sørland,67.667,12.6934,43.39,68,76,18.32,NO,1639706440
Marsh Harbour,26.5412,-77.0636,76.01,68,0,12.75,BS,1639706440
Mahibadhoo,3.7833,72.9667,81.19,76,99,9.24,MV,1639706440
Wanaka,-44.7,169.15,64.11,53,69,4.0,NZ,1639706411
Shumskiy,54.8318,99.1328,15.94,73,100,7.05,RU,1639706443
Urengoy,65.9667,78.3667,-32.26,100,98,5.12,RU,1639706444
Sitka,57.0531,-135.33,28.8,78,100,5.68,US,1639706444
Nishihara,26.1842,127.7558,69.08,73,75,26.46,JP,1639706389
Yulara,-25.2406,130.9889,103.53,12,29,12.64,AU,1639706431
Skodje,62.5021,6.7034,41.36,90,100,7.52,NO,1639706447
Znamensk,48.5842,45.7338,32.32,95,2,6.06,RU,1639706448
Ampanihy,-24.7,44.75,74.95,78,100,5.64,MG,1639706448
Dudinka,69.4058,86.1778,-40.7,100,51,2.93,RU,1639706449
Cherskiy,68.75,161.3,-19.64,98,100,2.98,RU,1639706449
Tete,-16.1564,33.5867,81.21,60,98,5.53,MZ,1639706450
Tezu,27.9167,96.1667,63.61,37,99,1.14,IN,1639706450
Sangar,63.9242,127.4739,-39.3,96,98,4.03,RU,1639706450
Rocha,-34.4833,-54.3333,59.79,92,25,6.22,UY,1639706451
Iquitos,-3.7481,-73.2472,74.71,98,100,2.06,PE,1639706451
Mohpa,21.3167,78.8167,56.55,56,54,1.59,IN,1639706452
Kavaratti,10.5669,72.642,82.22,73,8,12.41,IN,1639706512
Malakal,9.5334,31.6605,78.48,24,96,8.61,SS,1639706512
Port Hardy,50.6996,-127.4199,38.75,74,25,6.4,CA,1639706513
Swellendam,-34.0226,20.4417,53.73,84,0,11.54,ZA,1639706513
Manokwari,-0.8667,134.0833,80.24,82,100,6.04,ID,1639706279
Bulawayo,-20.15,28.5833,64.49,91,100,12.3,ZW,1639706514
Nizhniy Chir,48.3597,43.0865,31.77,95,32,5.39,RU,1639706516
Belmonte,-15.8631,-38.8828,76.41,88,63,7.38,BR,1639706516
Saint-Philippe,-21.3585,55.7679,74.52,76,6,5.84,RE,1639706298
Baharly,38.4362,57.4316,44.76,29,0,4.27,TM,1639706517
Esperance,-33.8667,121.9,75.04,55,3,19.22,AU,1639706438
Sorong,-0.8833,131.25,85.19,69,90,5.79,ID,1639706517
Hargeisa,9.56,44.065,60.67,87,75,11.12,SO,1639706517
Mossamedes,-15.1961,12.1522,65.82,80,56,4.7,AO,1639706518
Amalāpuram,16.5833,82.0167,71.98,74,54,4.07,IN,1639706466
Give,55.8398,9.25,41.86,100,90,10.36,DK,1639706519
Chui,-33.6971,-53.4616,64.62,83,19,10.78,UY,1639706519
Egvekinot,66.3167,-179.1667,-10.95,87,99,10.96,RU,1639706519
Norman Wells,65.282,-126.8329,-24.7,93,28,8.23,CA,1639706494
Petropavlovsk-Kamchatskiy,53.0452,158.6483,10.99,67,75,4.47,RU,1639706519
Vila Velha,-20.3297,-40.2925,77.95,84,82,10.0,BR,1639706520
Itaquaquecetuba,-23.4861,-46.3483,71.71,96,90,2.15,BR,1639706520
Saint-Augustin,51.226,-58.6502,21.18,79,100,2.66,CA,1639706520
